Index,Move,Type,Category,Power,Accuracy,PP
1,Pound,Normal,Physical,35,40,100%
2,Karate Chop,Fighting,Physical,25,50,100%
3,Double Slap,Normal,Physical,10,15,85%
4,Comet Punch,Normal,Physical,15,18,85%
5,Mega Punch,Normal,Physical,20,80,85%
6,Pay Day,Normal,Physical,20,40,100%
7,Fire Punch,Fire,Physical,15,75,100%
8,Ice Punch,Ice,Physical,15,75,100%
9,Thunder Punch,Electric,Physical,15,75,100%
10,Scratch,Normal,Physical,35,40,100%
11,Vise Grip,Normal,Physical,30,55,100%
12,Guillotine,Normal,Physical,5,∞,30%
13,Razor Wind,Normal,Special,10,80,100%
14,Swords Dance,Normal,Status,20,—,—%
15,Cut,Normal,Physical,30,50,95%
16,Gust,Flying,Special,35,40,100%
17,Wing Attack,Flying,Physical,35,60,100%
18,Whirlwind,Normal,Status,20,—,∞%
19,Fly,Flying,Physical,15,90,95%
20,Bind,Normal,Physical,20,15,85%
21,Slam,Normal,Physical,20,80,75%
22,Vine Whip,Grass,Physical,25,45,100%
23,Stomp,Normal,Physical,20,65,100%
24,Double Kick,Fighting,Physical,30,30,100%
25,Mega Kick,Normal,Physical,5,120,75%
26,Jump Kick,Fighting,Physical,10,100,95%
27,Rolling Kick,Fighting,Physical,15,60,85%
28,Sand Attack,Ground,Status,15,—,100%
29,Headbutt,Normal,Physical,15,70,100%
30,Horn Attack,Normal,Physical,25,65,100%
31,Fury Attack,Normal,Physical,20,15,85%
32,Horn Drill,Normal,Physical,5,∞,30%
33,Tackle,Normal,Physical,35,40,100%
34,Body Slam,Normal,Physical,15,85,100%
35,Wrap,Normal,Physical,20,15,90%
36,Take Down,Normal,Physical,20,90,85%
37,Thrash,Normal,Physical,10,120,100%
38,Double-Edge,Normal,Physical,15,120,100%
39,Tail Whip,Normal,Status,30,—,100%
40,Poison Sting,Poison,Physical,35,15,100%
41,Twineedle,Bug,Physical,20,25,100%
42,Pin Missile,Bug,Physical,20,25,95%
43,Leer,Normal,Status,30,—,100%
44,Bite,Dark,Physical,25,60,100%
45,Growl,Normal,Status,40,—,100%
46,Roar,Normal,Status,20,—,∞%
47,Sing,Normal,Status,15,—,55%
48,Supersonic,Normal,Status,20,—,55%
49,Sonic Boom,Normal,Special,20,—,90%
50,Disable,Normal,Status,20,—,100%
51,Acid,Poison,Special,30,40,100%
52,Ember,Fire,Special,25,40,100%
53,Flamethrower,Fire,Special,15,90,100%
54,Mist,Ice,Status,30,—,—%
55,Water Gun,Water,Special,25,40,100%
